Address,PropertyType,Beds,Baths,Sqft,YearBuilt,WalkScore,TransitScore,ParkingPrice,ParkingType,Cooling,Laundry,Description,Price
6 North Ave Pittsburgh PA 15212,0.0,1.0,1.0,850.0,1950.0,86.0,70.0,0.0,0.0,1.0,0.0,"General Hospital central north side 1/2 bed one is small 
1100 $downtown Pittsburgh modern heat include Downtown
Pittsburgh's finest interiors and breathtaking views await you. Step
out your front door and the city is yours. Blocks of restaurants,
clubs, shopping, culture and parks are right at your fingertips.
Downtown living at its best!
DETAILS:

Bathrooms:1
Price:start $1100
Security Deposit: Only 1100 to secure an apartment for up to 30 days.
Available: 11/01/18

FEATURES:
- Modern kitchens with appliances, granite 
- Full-size washer
- High-efficiency, and heat include
hardwood floors

AMENITIES:
- Brand new with classic industrial character
- bike room
- Dog- and cat-friendly community
PET POLICY
Cats and Dogs are allowed with an additional deposit. Call for Details
and Restrictions.
60$Pet fee 

utilities you pay only water 50$per person and you
are responsible for electric we pay heat
next to crazy mocha

heat included you pay only water 40$per person and you are responsible for electricRead less",975.0
434 5th Ave Pittsburgh PA 15219,0.0,0.0,1.0,525.0,2020.0,99.0,100.0,185.0,1.0,1.0,1.0,"
About KAUFMANNS GRAND ON FIFTH
Kaufmann's Grand on Fifth offers the most stylish and historic living in the heart of downtown Pittsburgh. Located in the iconic Kaufmann building, Kaufmann's Grand on Fifth mixes the beauties of the past with the luxuries of today. Studio, one and two-bedroom apartments are beautifully appointed with contemporary finishes and features including over-sized windows, open kitchens and stainless steel appliances. Amongst the sought-after central locale, this re-development under the clock offers convenient access to entertainment and nightlife all throughout the ""Golden Triangle"" in Pittsburgh.



Unique Features



24/7 Security on site


Coffee In Lobby


Conference Rooms


Fitness Center


Gas Range


Jacuizz Tub, Turkish Marble Flooring









Community Amenities





Fitness Center





Elevator





Doorman





Concierge
 






Package Service


Controlled Access


Maintenance on site


Property Manager on Site


Doorman


Concierge


24 Hour Availability


On-Site Retail


Recycling


Planned Social Activities


Public Transportation


Key Fob Entry


Elevator


Disposal Chutes


Conference Room


Fitness Center






Apartment Features





Washer/Dryer - In Unit





Air Conditioning





Dishwasher





Wheelchair Accessible (Rooms)





High Speed Internet Access





Hardwood Floors





Walk-In Closets





Island Kitchen
 


Highlights



High Speed Internet Access


Wi-Fi


Washer/Dryer - In Unit


Air Conditioning


Heating


Ceiling Fans


Smoke Free


Cable Ready


Double Vanities


Tub/Shower


Surround Sound


Intercom


Sprinkler System


Wheelchair Accessible (Rooms)





Kitchen Features & Appliances



Dishwasher


Disposal


Ice Maker


Granite Countertops


Stainless Steel Appliances


Pantry


Island Kitchen


Eat-in Kitchen


Kitchen


Microwave


Oven


Range


Refrigerator


Freezer


Breakfast Nook


Instant Hot Water





Floor Plan Details



Hardwood Floors


Carpet


Tile Floors


Dining Room


Crown Molding


Vaulted Ceiling


Bay Window


Views


Walk-In Closets


Linen Closet


Window Coverings


Large Bedrooms


Grill






",1277.0
6301 5th Ave Pittsburgh PA 15206,0.0,1.0,1.0,750.0,1950.0,80.0,67.0,0.0,1.0,0.0,0.0,"1 bed 1 bath close to Shadyside, Squirrel Hill, Highland Park, and Point Breeze. Close to multiple bus lines. 1 cat ok.

1 year lease. Tenant pays water, electricity, and gas. June 1 start date.Read less",750.0
434 5th Ave Pittsburgh PA 15219,0.0,1.0,1.0,662.0,2020.0,99.0,100.0,185.0,1.0,1.0,1.0,"
About KAUFMANNS GRAND ON FIFTH
Kaufmann's Grand on Fifth offers the most stylish and historic living in the heart of downtown Pittsburgh. Located in the iconic Kaufmann building, Kaufmann's Grand on Fifth mixes the beauties of the past with the luxuries of today. Studio, one and two-bedroom apartments are beautifully appointed with contemporary finishes and features including over-sized windows, open kitchens and stainless steel appliances. Amongst the sought-after central locale, this re-development under the clock offers convenient access to entertainment and nightlife all throughout the ""Golden Triangle"" in Pittsburgh.



Unique Features



24/7 Security on site


Coffee In Lobby


Conference Rooms


Fitness Center


Gas Range


Jacuizz Tub, Turkish Marble Flooring









Community Amenities





Fitness Center





Elevator





Doorman





Concierge
 






Package Service


Controlled Access


Maintenance on site


Property Manager on Site


Doorman


Concierge


24 Hour Availability


On-Site Retail


Recycling


Planned Social Activities


Public Transportation


Key Fob Entry


Elevator


Disposal Chutes


Conference Room


Fitness Center






Apartment Features





Washer/Dryer - In Unit





Air Conditioning





Dishwasher





Wheelchair Accessible (Rooms)





High Speed Internet Access





Hardwood Floors





Walk-In Closets





Island Kitchen
 


Highlights



High Speed Internet Access


Wi-Fi


Washer/Dryer - In Unit


Air Conditioning


Heating


Ceiling Fans


Smoke Free


Cable Ready


Double Vanities


Tub/Shower


Surround Sound


Intercom


Sprinkler System


Wheelchair Accessible (Rooms)





Kitchen Features & Appliances



Dishwasher


Disposal


Ice Maker


Granite Countertops


Stainless Steel Appliances


Pantry


Island Kitchen


Eat-in Kitchen


Kitchen


Microwave


Oven


Range


Refrigerator


Freezer


Breakfast Nook


Instant Hot Water





Floor Plan Details



Hardwood Floors


Carpet


Tile Floors


Dining Room


Crown Molding


Vaulted Ceiling


Bay Window


Views


Walk-In Closets


Linen Closet


Window Coverings


Large Bedrooms


Grill






",1510.0
100 White Hampton Ln Pittsburgh PA 15236,0.0,2.0,1.0,972.0,1950.0,19.0,37.0,0.0,1.0,1.0,2.0,"Welcome to your new home at Maiden Bridge & Canongate Apartments. We offer a host of amenities to make your life easy, starting with our on-site management team ready to assist with anything you may need. Conveniently located in the South Hills, we are close to shopping, dining, and parks. Choose from our numerous studio, one-, two-, and three-bedroom floor plans with laundry facilities on every floor, fitness center, swimming pool, bike storage, and more. Apartments offer eat-in kitchen, dishwasher, and air conditioning, and utilities are included in the rent. Just five miles from downtown Pittsburgh, you can easily access shopping, restaurants, museums, and much more. And we are pet friendly, welcoming your dogs and cats to Maiden Bridge & Canongate.",1345.0
26 Academy Ave Mt Lebanon PA 15228,0.0,2.0,1.0,1150.0,1950.0,85.0,62.0,0.0,0.0,0.0,0.0,"September 1st Mount Lebanon, what a great space and location, This is a top floor 2 bedrooms with Vaulted Living Room Ceiling, Hardwood-like floors, Parking, Storage, Pet-Friendly*, and Heat Paid! On-Site Gym and Laundry for your convenience). The Kitchen features Granite with appliances including Refrigerator, Gas Stove, Microwave & Dishwasher. Just a Block from Washington Road Shops, Uptown, and T Line. Renting from PPM Advantage!:. - easy online rent payments. - build your credit. - online service request. - buy your home with PPM and break your lease with no fees. credit and criminal check required, not approved for section 8, pet fees and breed restrictions apply, the rental rate is based on dual occupancy,$100 additional fee for 3rd occupant, square footage is an estimate. Close To Restaurants And Bars!. Granite Counter Tops. Hardwood Like Floors. Heat Included!. Mt Lebanon School District. Near Transportation. On Site Laundry. Parking. Uptown Mt LebanonRead less",1500.0
1800 5th Ave Pittsburgh PA 15219,0.0,2.0,2.0,1300.0,1894.0,84.0,80.0,0.0,1.0,1.0,2.0,"Stunning 2BR/2BA Loft ; Blocks from Downtown - 100 off/month for UPMC/AHN/University EmployeesPLEASE NOTE:We are happy to announce that we have resumed touring vacant apartments! However, to minimize the risk of spreading coronavirus to our residents and staff, we have temporarily stopped conducting in-person tours of occupied apartments. If we have a similar apartment that is vacant, we can show that as an example. Additionally, we have virtual tours of many of our apartments that we are happy to share. If you are interested in an in-person tour, please contact us and we will set it up for you. We look forward to meeting you and renting you your new home!* Spacious 2BR/2Bath Loft ~ 1110 Sq Ft!* Airy high ceilings, stacked bedrooms - One captive, one open to loft.* Open Kitchen & Living Space.* Stainless Steel Appliances, including Dishwasher & Microwave; Granite Countertops and Maple Cabinets.* Rich Laminate Floors, Designer Lighting, and Custom Window Treatments.* Washer & dryer in-unit. Extra laundry room in the building as well.* Convenient to downtown, the South Side and Oakland, the Fifth Ave. Lofts provide a high-quality living experience.* This historic conversion blends the great features of a 100-year-old school with the conveniences of modern living.* Assigned Parking Available: Garage $100/month ; Deck $50/month.* Located approximately 1/2 mile from downtown Pittsburgh and 1 mile from Oakland, and the South Side.* Cat-friendly with $10/month non-refundable Cat Privilege Fee and refundable (assuming no damage caused) $200 Pet Deposit. (All per cat.)* Dog-friendly with $20/month non-refundable Dog Privilege Fee and refundable (assuming no damage caused) $400 Pet Deposit. (All per dog.)* Rent includes gas, water & sewage, and trash. Tenant pays electric.* High-efficiency Central Air and Heating System.* Building Amenities Include an Elevator, Parking Garage, Fitness Room, Bike Racks, Storage Lockers ($25/month), Trash Chute, and outdoor grilling area.* Email us now for more details! inquiry at steiner-realty dot com.**PHOTOS of similar (not exact) unit**Dogs allowed in some units(RLNE1863976)",1850.0
501 Graham St Pittsburgh PA 15232,1.0,3.0,2.5,1258.0,1930.0,95.0,71.0,0.0,0.0,0.0,1.0,"A 3-BR house in the heart of Shadyside. free laundry center in the basement. Gas central heating operated by boiler/radiator. window A/C.

Available Aug 1
Monthly rent: $1,950 + water and sewer + gas + electricity
Yearly lease
No pets
No smoking
$35 application fee per personRead less",1950.0
5826 Alder St Pittsburgh PA 15232,1.0,2.0,1.0,900.0,1950.0,97.0,70.0,0.0,1.0,1.0,0.0,"Shadyside - 2BR Apartment on Alder St W/ Off St Parking and Central AC - Our Shadyside apartments for rent in Pittsburgh are located in Pittsburgh's most premiere locations with its blend of modern and Victorian homes. Shadyside's Walnut St. and Ellsworth Ave. are famous for its unique shops, restaurants, lounges, boutiques and nightlife. Being centrally located along the main bus lines allows its residents to be within minutes of many hospitals (UPMC), colleges & universities within Pittsburgh (Carnegie Mellon University [CMU], Duquesne University, Pittsburgh University, Carlow University, Chatham University and many others). Its vast mixture of university students, grad-students, doctors and families makes this location perfect of anyone, whether working or going to school.

(RLNE5619771)Read less",1375.0
108 Morelli Dr Pittsburgh PA 15237,1.0,3.0,2.0,1734.0,1965.0,33.0,30.0,0.0,0.0,0.0,0.0,"3 bedroom, 2 full bathroom home in Ross Township. The location is unbelievably convenient to Downtown Pittsburgh, McKnight Road, I-279, shopping and restaurants. Gas Stove, Microwave, Refrigerator, Dishwasher and Disposal. Dining Room has sliding glass door that leads to the covered patio and private yard.Professionally managed by Pathlight Property Management, the exclusive property manager for Home Partners of America, offering excellent customer service, 24/7 emergency maintenance service, online application and payments, and pet-friendly options.We care about your health and safety as well as the community during the COVID-19 crisis. Even when using a self-showing option, please comply with all local directives and orders aimed at reducing exposure. A utility service charge will be charged monthly, along with a one-time fee; all other utilities, such as electricity and gas, need to be maintained in the resident's name. To better serve our residents, Pathlight is pet-friendly with some breed restrictions and monthly fees; deposits may apply. To ensure the best care for your HVAC system and, in turn, the air quality in your home, a monthly $15 fee for bi-monthly filter service applies. Broker participation welcome, so please contact your leasing agent for more information. For additional information on our application process and lease fees, please visit our online help center. Advertised rental prices and promotions are subject to change at any time.The information contained herein has been obtained through sources deemed reliable but cannot be guaranteed as to its accuracy. Any information of special interest should be verified with Pathlight Property Management. We do not advertise any of our homes on Craigslist and it is likely fraud.** This property allows self guided viewing without an appointment. Contact for details.Read less",1795.0
6 Wyoming St Pittsburgh PA 15211,0.0,1.0,1.0,900.0,1950.0,80.0,82.0,0.0,0.0,1.0,0.0,"Great location, just steps from the incline! Third-floor apartment in a quiet, three-story house. Non-smoking and no pets. Two large closets in bedroom! Coin operated washer/dryer in basement.

Tenant pays for gas and electric; Owner pays water and sewer.Read less",900.0
183 Morewood Ave Pittsburgh PA 15213,0.0,3.0,1.0,970.0,1950.0,92.0,66.0,0.0,1.0,1.0,0.0,"This is a gorgeous well-maintained 3-bedroom unit on the first floor conveniently located in North Oakland/Shadyside with a great walk score 86. This unit comes with one modern bathroom, all hardwood-like floors, and a fully-equipped kitchen. The modern kitchen has a large stainless-steel double door fridge (with cool water dispenser), a dishwasher, a range, a range-top microwave oven, and a marble countertop. The modern bathroom is equipped with an updated bathtub. exhaust fan, and ceramic tiles walls and floors, updated faucets, toilets, etc. This unit also is equipped with a central air conditioning system for your convenience in the hot summer time. Moreover, the house is well insulated to save energy (means lower heating gas costs in the winter). Another advantage of this unit is its direct access to the laundry center in the basement through a locked door.

For your convenience, the unit has on-site coin-operated laundry center in the basement and a full bathroom. For your security, the unit has motion-sensor outdoor lights and surveillance cameras. What's more, the private fenced backyard is ideal for summer BBQ. Also, the basement has a spacious storage area with a new dry concrete floor. 

What's more, this unit has a large concrete backyard for BBQ and a large concrete parking space (for 4 cars). Off-street parking is $50/month/car. A bike shlter is conventienly available in the front of the house.

To provide better security, the property has motion sensor lights and 7x24 surveillance cameras.

This unit is conveniently located in the North Oakland/Shadyside area. Just about 5 minutes walk to PNC Bank, Einstein Bros breakfast or many restaurants (Chinese, Chipotle, KFC, Pizza, Qdoba, Penn subs, etc.) and a 24-hour convenience store (GetGo) with hot food kitchen. The main bus line is right at the corner that takes you to Oakland (Pitt/CMU campuses and UPMC hospitals) and downtown. Moreover, Pitt/CMU campus, food court, grocery stores are all in the walking distance. Pitt/CMU shuttle stop is just one block away.

This property is managed and owned by the General Realty Management, Ltd with a reliable dedicate team for maintenance and management for 12+ years in the Pittsburgh area.
Terms:
- Application fee: $35/person
- Off-street parking: $50/month/car

In addition to the rent, Tenants pay water/sewer $35/person/month, plus gas and electricity. Application fee: $35/person.Read less",1550.0
2715 Murray Ave Pittsburgh PA 15217,0.0,1.0,1.0,770.0,1950.0,89.0,51.0,0.0,1.0,1.0,2.0,"The Morrowfield was built in the heyday of the newly emerging world of automobiles and movies. This grand structure was originally built as a luxury hotel and apartment building - it was converted to only apartments in the 1940's. Features:-Studios, 1 and 2 bedroom apartments-Pet friendly (furnished apartments are NOT pet friendly)-No Security Deposit-Heat (in most cases), water, cooking gas, hot water, sewage and trash included in rent-Off-street parking in garage (subject to availability)-PITT-CMU-UPMC Area-On-site laundry-Two passenger elevators-Intercom entrance-Air conditioning-Hardwood floors or carpet-Fully equipped kitchens",1030.0
2626 Tunnel Blvd Pittsburgh PA 15203,0.0,0.0,1.0,498.0,2015.0,86.0,67.0,250.0,2.0,1.0,2.0,"Southside Works City Club Apartments has quickly become recognized as one of the premier communities of Southside Flats apartments in Pittsburgh. We offer an enticing array of studio, one bedroom, two bedroom, and penthouse apartments with excellent amenities. At our South Side Pittsburgh apartments and penthouses, you will enjoy kitchens with movable granite islands, high ceilings from nine to eighteen feet, and floor-to-ceiling windows, with your choice of deluxe or premium finish packages. Our apartments and townhouses in Pittsburgh also feature excellent community amenities such as our clubroom and courtyard with complimentary Wi-Fi and our indoor/outdoor pool and hot tub, as well as dry cleaning and laundry services. Southside Works City Club is also within walking distance of the South Side\u0027s best dining and shopping, SouthSide Works Cinema, and public transportation, and just a short drive to the Penn Lincoln Parkway and Downtown Pittsburgh. 24/7 Business Center & Conference Room, 24/7 Whole Body Fitness, CCA Designed Kitchens, Entertainment Clubroom, Fiber Wired Connectivity, Indoor/Outdoor Heated Pool, Lobby/ Lounge/ Library, Skyline Views, Social Programming, Terrace Club, WiFi Hot Spots In Common Areas",1265.0
280 Plummer Ave Pittsburgh PA 15202,1.0,3.0,1.0,1360.0,1909.0,16.0,28.0,0.0,1.0,1.0,1.0,"7 miles north of Downtown Pittsburgh. Walking distance to bus line. 

280 PLUMMER AVE (Avonworth School District)
Available June 1, 2020.
$1300 + utilities
3 bedroom 1 bath

Newly renovated! 
- new flooring 
- new central air 
- new ceilings 
- new crown molding and baseboards 
- newly redesigned kitchen (new cabinets, backsplash, countertops,)
- new stainless steel appliances 
- new bathroom 
- new carpets 
- new hot water tank 
- newer furnace
- new paint throughout the house
- new retaining wall, the front of the house
- new front steps

Farmhouse with modern touches. You will appreciate the charm of this 1900 farmhouse which has been completely renovated with modern touches while preserving the farmhouse charm!

additional features:

private parking and on-street parking
wooded lot offers privacy
dead-end street limits traffic
large front porch for entertaining
large backyard
keyless entry
off-street parking
1st-floor laundry

A cat can be considered if you can provide references from your previous landlord for your pet and paperwork that validates your pet is spayed or neutered. NO DOGS, please. Pet fee will apply.

 
Schedule an appt. to review the rental at

Rent plus utilities. 1st month and security deposit due at lease signing.Read less",1300.0
301 Fairmount St Pittsburgh PA 15232,0.0,5.0,2.0,900.0,1950.0,93.0,68.0,0.0,0.0,0.0,0.0,"Tall ceilings and hardwood floors throughout. The unit includes a private porch and entry room on the first floor. The unit is mainly on the second and third floor of the house. There are 5 large bedrooms with a full bathroom on each floor. There is also a shared living room and kitchen. The kitchen is large and includes a fridge, dishwasher, full gas range, double sinks, garbage disposal and flexible kitchen faucet.

The rent is $2800/month. Rent does not include gas or electric but does include water, garbage, and lawn services. The stove and water heater is gas. The unit is allowed pets. The house is located in Friendship and is within walking distance to many shops around. University students are welcome to rent. The parking is on street but free and it is not hard to find a spot.Read less",2800.0
1135 Portland St Pittsburgh PA 15206,0.0,1.0,1.0,850.0,1950.0,67.0,45.0,0.0,0.0,1.0,0.0,"Updated 1st floor apartment. Hardwood floors, private entrance, newer kitchen, private back yard, central AC, great location.

Tenant pays gas & electric. $50 / person / month water and sewage feeRead less",1000.0
5400 Howe St Pittsburgh PA 15232,0.0,0.0,1.0,500.0,1950.0,80.0,71.0,0.0,0.0,1.0,1.0,"Spacious Studio in the heart of Shadyside, one block from Walnut Street, the main shopping district.  A half block from the main bus lines on Fifth Avenue.  Five blocks from the campuses.  Security building with cameras.  Laundry facilities in building.  Best location in Shadyside.",875.0
436 1st Ave Pittsburgh PA 15219,0.0,0.0,1.0,625.0,1950.0,95.0,98.0,0.0,1.0,1.0,2.0,"We offer spacious floor plans with contemporary updates and thoughtful restorations, all in an authentic historic building in Downtown Pittsburgh.",1250.0
